time,mailly,moulin
0,10,5
1,11,4
2,11,4
3,10,5
4,11,4
5,11,4
6,12,3
7,13,2
8,13,2
9,14,1
10,14,1
11,14,1
12,13,2
13,13,2
14,12,3
15,12,3
16,12,3
17,11,4
18,12,3
19,12,3
20,11,4
21,10,5
22,9,6
23,9,6
24,9,6
25,9,6
26,9,6
27,9,6
28,10,5
29,10,5
30,9,6
31,8,7
32,9,6
33,9,6
34,8,7
35,9,6
36,8,7
37,7,8
38,6,9
39,6,9
40,6,9
41,5,10
42,4,11
43,3,12
44,4,11
45,5,10
46,5,10
47,6,9
48,6,9
49,5,10
50,5,10
51,6,9
52,7,8
53,6,9
54,7,8
55,8,7
56,9,6
57,9,6
58,9,6
59,9,6
60,10,5
61,10,5
62,10,5
63,10,5
64,9,6
65,9,6
66,9,6
67,9,6
68,9,6
69,8,7
70,8,7
71,9,6
72,10,5
73,9,6
74,10,5
75,10,5
76,10,5
77,11,4
78,11,4
79,11,4
80,11,4
81,10,5
82,10,5
83,9,6
84,8,7
85,8,7
86,7,8
87,7,8
88,8,7
89,8,7
90,8,7
91,9,6
92,10,5
93,9,6
94,9,6
95,10,5
96,9,6
97,9,6
98,9,6
99,9,6
100,9,6
101,10,5
102,10,5
103,10,5
104,9,6
105,10,5
106,10,5
107,9,6
108,10,5
109,9,6
110,8,7
111,8,7
112,8,7
113,7,8
114,7,8
115,7,8
116,7,8
117,7,8
118,7,8
119,6,9
120,6,9
121,6,9
122,6,9
123,5,10
124,5,10
125,5,10
126,5,10
127,4,11
128,5,10
129,6,9
130,6,9
131,7,8
132,7,8
133,7,8
134,6,9
135,7,8
136,8,7
137,7,8
138,6,9
139,6,9
140,7,8
141,7,8
142,7,8
143,7,8
144,7,8
145,7,8
146,6,9
147,6,9
148,7,8
149,6,9
150,6,9
151,5,10
152,6,9
153,5,10
154,4,11
155,3,12
156,2,13
157,2,13
158,3,12
159,3,12
160,3,12
161,4,11
162,3,12
163,3,12
164,2,13
165,3,12
166,4,11
167,3,12
168,3,12
169,3,12
170,3,12
171,2,13
172,3,12
173,3,12
174,3,12
175,3,12
176,3,12
177,4,11
178,3,12
179,3,12
180,3,12
181,3,12
182,3,12
183,4,11
184,3,12
185,3,12
186,3,12
187,2,13
188,1,14
189,2,13
190,2,13
191,3,12
192,3,12
193,3,12
194,3,12
195,3,12
196,3,12
197,2,13
198,1,14
199,1,14
200,1,14
201,1,14
202,0,15
203,0,15
204,0,15
205,0,15
206,0,15
207,0,15
208,1,14
209,2,13
210,1,14
211,0,15
212,0,15
213,1,14
214,1,14
215,2,13
216,2,13
217,3,12
218,3,12
219,3,12
220,3,12
221,3,12
222,3,12
223,3,12
224,3,12
225,2,13
226,3,12
227,2,13
228,1,14
229,1,14
230,2,13
231,2,13
232,1,14
233,1,14
234,2,13
235,2,13
236,3,12
237,3,12
238,2,13
239,1,14
240,0,15
241,0,15
242,1,14
243,2,13
244,2,13
245,2,13
246,1,14
247,0,15
248,0,15
249,1,14
250,2,13
251,3,12
252,3,12
253,2,13
254,2,13
255,1,14
256,0,15
257,0,15
258,0,15
259,0,15
